"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"84","Arsenal man has two rival English clubs fighting over his signature this summer https://t.co/DpzqZ23v7q
#arsenal… https://t.co/Z3SVXDtEwu",FALSE,1,NA,2017-04-22 05:28:55,TRUE,NA,"855654628414771200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sports905332",0,FALSE,FALSE,NA,NA
"85","Disfrute de la jornada 34 de la #PremierLeague en vivo, en exclusiva y en SKY HD. https://t.co/Mz8qMmRGvf",FALSE,1,NA,2017-04-22 05:28:09,FALSE,NA,"855654434428379136",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SKYCostaRica",0,FALSE,FALSE,NA,NA
"86","New Customer #MMA 1 #football #HorseRacing #PremierLeague #LFC #swfc #nufc #LCFC #MCFC #whufc #avfc #Spurs More#… https://t.co/BWnvtTt7GB",FALSE,1,NA,2017-04-22 05:27:03,FALSE,NA,"855654160733134849",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","TFS_SheffWed",0,FALSE,FALSE,NA,NA
"87","#PremierLeague | Partidos Sábado:

- West Ham vs Everton 11:00
- Bournemouth vs Middlesbrough 11:00
- Swansea vs Stoke City 11:00",FALSE,0,NA,2017-04-22 05:25:11,FALSE,NA,"855653690333687808",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","valla_invicta",0,FALSE,FALSE,NA,NA
"88","The Beautiful Game
#Football #UEFA #UCL #ElClasico #PremierLeague #LaLiga https://t.co/CllxAy5u8P",FALSE,0,NA,2017-04-22 05:25:04,FALSE,NA,"855653660109533184",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","LiveStreamFIFA2",0,FALSE,FALSE,NA,NA
"89","FC Barcelona, Real Madrid? Lampard geeft Rode Duivel dit advies https://t.co/776QMkLFWK #premierleague #engeland #voetbal",FALSE,0,NA,2017-04-22 05:24:03,FALSE,NA,"855653403271344128",NA,"<a href=""http://www.headlines.nl/"" rel=""nofollow"">Headlines.nl</a>","Premier1_League",0,FALSE,FALSE,NA,NA
"90","#PremierLeague Chelsea and Man Utd transfer update: Champions League giants consider offers for star man https://t.co/dXjJsFOjTc",FALSE,0,NA,2017-04-22 05:23:08,FALSE,NA,"855653174731984898",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","PremierLeague8",0,FALSE,FALSE,NA,NA
"91","#PremierLeague 5 live Football Daily: 'If anyone has Chelsea's number it's Spurs' https://t.co/kQbV7v6VtA",FALSE,0,NA,2017-04-22 05:23:08,FALSE,NA,"855653172307574784",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","PremierLeague8",0,FALSE,FALSE,NA,NA
"92","#PremierLeague Chelsea v Spurs https://t.co/i2DpvgRjov",FALSE,0,NA,2017-04-22 05:23:07,FALSE,NA,"855653170139119618",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","PremierLeague8",0,FALSE,FALSE,NA,NA
"93","#PremierLeague Fernando Llorente tells Sky Sports' Johnny Phillips why Swansea must play without fear as they look… https://t.co/HYj9yjFJV9",FALSE,0,NA,2017-04-22 05:09:17,FALSE,NA,"855649686463688704",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","1stgoaldotnet",0,FALSE,FALSE,NA,NA
"94","Is your football kit ready? Check out our range of Nike Goalkeeper kits here  #football #Nike #premierleague… https://t.co/eon1e16ZJo",FALSE,0,NA,2017-04-22 05:09:01,TRUE,NA,"855649622802526208",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","kitsandtrophies",0,FALSE,FALSE,NA,NA
"95","22/04 : #football 

⏩ Everton
⏩ Hertha

côte : 5,04

#Bundesliga 
#PremierLeague 
#Parionsport #TeamParieur",FALSE,1,NA,2017-04-22 05:07:26,FALSE,NA,"855649221789310976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CkMpronos",1,FALSE,FALSE,NA,NA
"96","#MUFC forward Zlatan Ibrahimović suffers both a torn ACL and PCL #PL #PremierLeague https://t.co/fAmjmS3oW2",FALSE,0,NA,2017-04-22 05:04:15,FALSE,NA,"855648422862491648",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","TheFantasyDRS",0,FALSE,FALSE,NA,NA
"97","#WilliamHill Special- Bet 10 get Extra 20 - Click Here Get Yours Now- https://t.co/fTlMGxP1wU  #mufc #premierleague",FALSE,0,NA,2017-04-22 04:49:32,FALSE,NA,"855644719644385284",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","Freebetnow",0,FALSE,FALSE,NA,NA
"98","HULL CITY  is out! https://t.co/Q6QQ5aySEU Stories via @BettyRawson @NyctofilImages @InglaterraVAVEL #premierleague #hcafc",FALSE,0,NA,2017-04-22 04:47:31,FALSE,NA,"855644211466698752",NA,"<a href=""http://paper.li"" rel=""nofollow"">Paper.li</a>","HullNewsroom",0,FALSE,FALSE,NA,NA
"99","Once a fighter, always a fighter. Come back stronger Zlatan Ibrahimovic."" Class. @Ibra_official #Zlatan #pldk… https://t.co/KVwrY6vC82",FALSE,0,NA,2017-04-22 04:47:22,TRUE,NA,"855644174544252932",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","moelhoej",0,FALSE,FALSE,NA,NA
"100","Få #PremierLeague halsduk från ditt favoritlag! +400 kr extra att spela för. #speltips #oddsprat #v75  … https://t.co/LtnANMBObO",FALSE,0,NA,2017-04-22 04:45:33,TRUE,NA,"855643714370383873",NA,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>","Oddsmasen",0,FALSE,FALSE,NA,NA
"101","2017 Premier League 2: Friday's U23 Results, Scores, Latest Tables and Fixtures - Bleacher Report… https://t.co/7R473wXq0f",FALSE,0,NA,2017-04-22 04:42:06,TRUE,NA,"855642846094696449",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","uk_sport_fan",0,FALSE,FALSE,NA,NA
"102","Man City manager Pep Guardiola has predicted Khaldoon Al Mubarak's end of year review https://t.co/7lzhXsqZSm #premierleague",FALSE,0,NA,2017-04-22 04:41:23,FALSE,NA,"855642665462923265",NA,"<a href=""http://twibble.io"" rel=""nofollow"">Twibble.io</a>","footyfans247",0,FALSE,FALSE,NA,NA
"103","Comienza la época mas bonita del año #ChampionsLeague #AtleticodeMadrid #juventus #RealMadrid #ASMonaco #LaLiga… https://t.co/uojSNcKYfJ",FALSE,0,NA,2017-04-22 04:33:27,TRUE,NA,"855640668814942209",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","heptorsj",0,FALSE,FALSE,NA,NA
"104","#PremierLeague",FALSE,1,NA,2017-04-22 04:10:53,FALSE,NA,"855634990318600194",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ynwa314",0,FALSE,FALSE,NA,NA
"105","#PremierLeague Partidos para mañana (Horario #CDMX) | Bournemouth vs Middlesbrough (9:00) | Hull City vs Watford... https://t.co/rsUdMfR2YC",FALSE,0,NA,2017-04-22 04:07:34,FALSE,NA,"855634156151201792",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","La5tadelfutbol",0,FALSE,FALSE,NA,NA
"106","Seven games without scoring:

Derby County (Oct 2007-Dec 2007)

Ipswich Town (Feb 1995-Apr 1995).   #epl #premierleague",FALSE,0,NA,2017-04-22 04:03:04,FALSE,NA,"855633025509543938",NA,"<a href=""https://www.tweetsuite.com/"" rel=""nofollow"">Tweet Suite</a>","FootyNews247",0,FALSE,FALSE,NA,NA
"107","Catch #PremierLeague teams in action
#Burnley vs #ManchesterUnited

Odds https://t.co/SwOhXpghKb
https://t.co/znT8Cmp97n",FALSE,0,NA,2017-04-22 04:00:10,FALSE,NA,"855632294866038784",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","SoccerVIPS",0,FALSE,FALSE,NA,NA
"108","The latest The marca Daily! https://t.co/rewIAbu7Od Thanks to @agencia_you @Ashley201511 @Futsal15Bogor #premierleague",FALSE,0,NA,2017-04-22 03:58:48,FALSE,NA,"855631948601057280",NA,"<a href=""http://paper.li"" rel=""nofollow"">Paper.li</a>","sammyblade2",0,FALSE,FALSE,NA,NA
"109","#PremierLeague a las 11:00 juegan #Bournemouth vs #Middlesbroug con @federodas y @CastellanosCami por @DIRECTVSports 614/1614 HD",FALSE,0,NA,2017-04-22 03:56:17,FALSE,NA,"855631316775260160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LPpachielat",0,FALSE,FALSE,NA,NA
"110","#PremierLeague a las 11:00 juegan #SwanseaCity vs #StokeCity con @arleylondonoh y @FranciscoBlavia por @DIRECTVSports + 613/1613 HD",FALSE,0,NA,2017-04-22 03:56:07,FALSE,NA,"855631275151032321",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LPpachielat",0,FALSE,FALSE,NA,NA
"111","#PremierLeague a las 11:00 juegan #HullCity vs #WatfordFC con @FDVENE y @Gustavo_che por @DIRECTVSports 2 612/1612 HD",FALSE,0,NA,2017-04-22 03:55:54,FALSE,NA,"855631222197932033",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LPpachielat",0,FALSE,FALSE,NA,NA
"112","#PremierLeague a las 11:00 juegan #WestHamUnited vs #Everton con @brunovain y @CarlitosSuarez por @DIRECTVSports 611/1611 HD",FALSE,1,NA,2017-04-22 03:55:42,FALSE,NA,"855631171295858689",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LPpachielat",0,FALSE,FALSE,NA,NA
